HDI rank,Country,2013 Human Development Index (HDI) Value ,2013 Inequality-adjusted HDI (IHDI) Value,2013 Inequality-adjusted HDI (IHDI) Overall loss (%),2013 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2013 Coefficient of human inequality Value,2013 Inequality in life expectancy %,2013 Inequality adjusted life expectancy index value,2013 Inequality in education %,2013 Inequality-adjusted education index value,2013 Inequality in income %,2013 Inequality-adjusted income index value,2003-2012 Income inequality Quintile ratio,2003-2012 Income inequality Palma ratio,2003-2012 Income inequality Gini coefficient
116.0,199,0.661,0.556,15.8,14,15.3,24.3,0.562,1.4,0.642,20.1,0.478,6.2,1.6,36.7
117.0,145,0.66,0.54,18.1,10,18,15.2,0.635,13.5,0.528,25.2,0.47,8.3,2.2,43
118.0,169,0.658,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,25.7,0.422,18.1,0.569,24.300609756097558,0.5066585365853656,25.3,7.1,63.1
118.0,180,0.658,0.518,21.2,4,20.8,12.6,0.734,31.5,0.379,18.3,0.5,5.7,2.1817307692307706,35.8
120.0,83,0.642,0.505,21.4,0,21.2,17.6,0.626,29.8,0.328,16.1,0.626,4.6,1.2,30.9
121.0,73,0.638,0.522,18.2,10,18,19.2,0.575,10.5,0.521,24.4,0.474,9.792307692307691,2.1817307692307706,40.39057971014495
121.0,203,0.638,0.543,14.9,15,14.9,12.1,0.757,18,0.421,14.6,0.502,5.9,1.5,35.6
123.0,32,0.636,0.511,19.7,4,19.4,12,0.746,18.2,0.395,28,0.452,9.792307692307691,2.1817307692307706,50.5
124.0,120,0.63,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,19.8,0.604,21.02168674698795,0.5019636363636363,63.1,0.201,9.792307692307691,2.1817307692307706,61.1
125.0,70,0.628,0.422,32.8,-8,32,17.4,0.662,36.1,0.309,42.5,0.367,19.6,4.5,55.9
125.0,96,0.628,0.519,17.2,10,16.9,20,0.585,6.6,0.613,24.1,0.391,5.4,1.3,33.4
127.0,128,0.624,0.352,43.6,-22,39.3,21.7,0.536,27.8,0.376,68.3,0.216,21.8,2.1817307692307706,63.9
128.0,185,0.62,0.43,30.7,-3,29.4,22.8,0.565,47.6,0.248,17.8,0.568,9.792307692307691,2.1817307692307706,40.39057971014495
129.0,76,0.617,0.418,32.2,-6,31.1,17,0.687,29.6,0.356,46.8,0.299,29.7,5.2,57
129.0,125,0.617,0.433,29.7,0,28.5,16.8,0.652,45.8,0.254,23,0.493,7.3,2,40.9
131.0,200,0.616,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,15.4,0.672,21.02168674698795,0.5019636363636363,18.5,0.404,9.792307692307691,2.1817307692307706,40.39057971014495
132.0,133,0.614,0.452,26.4,4,25.8,13.2,0.732,33.3,0.323,31,0.391,7.6,1.9,40.5
133.0,92,0.607,0.416,31.5,-4,30.1,20.6,0.597,21.4,0.473,48.4,0.255,9.792307692307691,2.1817307692307706,40.39057971014495
133.0,181,0.607,0.491,19.2,9,18.8,29.3,0.514,12.2,0.561,15,0.409,4.7,1.2,30.8
135.0,80,0.586,0.418,28.6,0,27.7,25,0.536,42.1,0.274,16.1,0.5,5,1.4,33.9
136.0,20,0.584,0.465,20.4,9,20.2,22.2,0.578,13.3,0.365,25.1,0.477,6.8,1.7,38.1
136.0,29,0.584,0.44,24.7,7,24.6,25.3,0.597,28.3,0.355,20.3,0.401,5.6,1.5,36
138.0,67,0.573,0.394,31.3,-1,31.2,30.8,0.438,35.6,0.356,27.2,0.392,9.3,2.2,42.8
139.0,97,0.569,0.43,24.5,8,24.1,21.5,0.583,34.1,0.287,16.8,0.474,5.9,1.6,36.7
140.0,39,0.564,0.391,30.7,0,30.6,36,0.382,25.4,0.381,30.3,0.41,10.7,2.8,47.3
141.0,206,0.561,0.365,35,-4,34.5,37.2,0.368,23.8,0.451,42.6,0.292,17.4,4.8,57.5
142.0,14,0.558,0.396,29.1,4,28.7,20.1,0.623,37.8,0.278,28.3,0.357,4.7,1.3,32.1
