HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012-2013 Change in rank
93.81283422459893,122,0.6837600000000001,70.34264705882352,-1,7.834500000000004,-1,12.738423645320195,-1,16161.290640394089,-1,0.68181,-0.0427807486631016
93.81283422459893,129,0.6837600000000001,70.34264705882352,-1,7.834500000000004,-1,9.3,-1,16161.290640394089,-1,0.68181,-0.0427807486631016
93.81283422459893,156,0.6837600000000001,70.34264705882352,-1,7.834500000000004,-1,15.3,-1,16161.290640394089,-1,0.68181,-0.0427807486631016
93.81283422459893,168,0.6837600000000001,55.1,-1,7.834500000000004,-1,12.738423645320195,-1,16161.290640394089,-1,0.68181,-0.0427807486631016
93.81283422459893,171,0.6837600000000001,55.3,-1,7.834500000000004,-1,12.738423645320195,-1,1450.0,-1,0.68181,-0.0427807486631016
93.81283422459893,192,0.6837600000000001,70.34264705882352,-1,7.834500000000004,-1,10.8,-1,5151.0,-1,0.68181,-0.0427807486631016
93.81283422459893,6,0.682,70.2,-1,6.3,-1,11.8,-1,15817.0,-1,0.6809999999999999,-0.0427807486631016
93.81283422459893,51,0.703,74.0,-1,7.4,-1,12.5,-1,10499.0,-1,0.6990000000000001,-0.0427807486631016
93.81283422459893,59,0.738,71.3,-1,9.6,-1,13.6,-1,12415.0,-1,0.735,-0.0427807486631016
93.81283422459893,98,0.74,74.9,-1,7.9,-1,13.7,-1,13767.0,-1,0.7390000000000001,-0.0427807486631016
93.81283422459893,170,0.588,67.2,-1,4.7,-1,11.2,-1,5195.0,-1,0.586,-0.0427807486631016
93.81283422459893,174,0.502,56.8,-1,4.8,-1,9.7,-1,3152.0,-1,0.499,-0.0427807486631016
93.81283422459893,100,0.48700000000000004,61.5,-1,3.9,-1,9.4,-1,2126.0,-1,0.484,-0.0427807486631016
93.81283422459893,166,0.665,70.0,-1,7.5,-1,11.0,-1,9471.0,-1,0.6629999999999999,-0.0427807486631016
93.81283422459893,204,0.7020000000000001,70.8,-1,7.7,-1,12.2,-1,13723.0,-1,0.7,-0.0427807486631016
